fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,pred_score
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,0.14232460475646058
5.7,0.6,0.0,1.4,0.063,11,18,0.9919100000000001,3.45,0.56,12.2,0.2444872360576198
7.6,1.58,0.0,2.1,0.13699999999999998,5,9,0.9947600000000001,3.5,0.4,10.9,0.3888773560636548
5.2,0.645,0.0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,0.26758946981195036
6.7,0.86,0.07,2.0,0.1,20,57,0.99598,3.6,0.74,11.7,0.1389450070684716
9.1,0.37,0.32,2.1,0.064,4,15,0.9957600000000001,3.3,0.8,11.2,0.23416736301151847
8.0,0.28,0.44,1.8,0.081,28,68,0.9950100000000001,3.36,0.66,11.2,0.16243146053192145
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,0.0035851135584125996
7.5,0.61,0.26,1.9,0.073,24,88,0.9961200000000001,3.3,0.53,9.8,0.007530010889129289
9.7,0.69,0.32,2.5,0.08800000000000001,22,91,0.9979,3.29,0.62,10.1,0.020945623334237957
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,0.02721937451769427
9.7,0.69,0.32,2.5,0.08800000000000001,22,91,0.9979,3.29,0.62,10.1,0.020945623334237957
7.0,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,0.008726008155919675
7.5,0.61,0.26,1.9,0.073,24,88,0.9961200000000001,3.3,0.53,9.8,0.007530010889129289
6.5,0.51,0.15,3.0,0.064,12,27,0.9929,3.33,0.59,12.8,0.18121707721997343
8.0,1.18,0.21,1.9,0.083,14,41,0.9953200000000001,3.34,0.47,10.5,0.012500370673119172
7.0,0.36,0.21,2.3,0.086,20,65,0.9955799999999999,3.4,0.54,10.1,0.008605287914053834
7.0,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,0.008605287914053834
7.5,0.63,0.27,2.0,0.083,17,91,0.99616,3.26,0.58,9.8,0.01062058177619268
5.4,0.74,0.0,1.2,0.040999999999999995,16,46,0.9925799999999999,4.01,0.59,12.5,0.17521164034361006
9.9,0.44,0.46,2.2,0.091,10,41,0.9963799999999999,3.18,0.69,11.9,0.5763127436848047
7.5,0.63,0.27,2.0,0.083,17,91,0.99616,3.26,0.58,9.8,0.01062058177619268
9.1,0.76,0.68,1.7,0.414,18,64,0.9965200000000001,2.9,1.33,9.1,0.03234014299918918
9.7,0.66,0.34,2.6,0.094,12,88,0.9979600000000001,3.26,0.66,10.1,0.04713261124594097
5.0,0.74,0.0,1.2,0.040999999999999995,16,46,0.9925799999999999,4.01,0.59,12.5,0.17521164034361006
9.1,0.34,0.42,1.8,0.057999999999999996,9,18,0.99392,3.18,0.55,11.4,0.3998550790696853
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11.0,0.18546156514207096
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.04287103027541211
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,0.0061376527650059305
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,0.01062058177619268
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,0.01062058177619268
7.8,0.87,0.26,3.8,0.107,31,67,0.9966799999999999,3.26,0.46,9.2,0.004135908604342994
8.4,0.39,0.1,1.7,0.075,6,25,0.9958100000000001,3.09,0.43,9.7,0.020858042724799682
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,0.005220736012911601
7.2,0.835,0.0,2.0,0.166,4,11,0.99608,3.39,0.52,10.0,0.017531976099155158
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,0.383317000272926
6.0,0.5,0.0,1.4,0.057,15,26,0.9944799999999999,3.36,0.45,9.5,0.01676726656789609
6.0,0.5,0.0,1.4,0.057,15,26,0.9944799999999999,3.36,0.45,9.5,0.01676726656789609
6.0,0.5,0.0,1.4,0.057,15,26,0.9944799999999999,3.36,0.45,9.5,0.01676726656789609
7.5,0.51,0.02,1.7,0.084,13,31,0.9953799999999999,3.36,0.54,10.5,0.03485339917909299
7.5,0.51,0.02,1.7,0.084,13,31,0.9953799999999999,3.36,0.54,10.5,0.03485339917909299
7.5,0.51,0.02,1.7,0.084,13,31,0.9953799999999999,3.36,0.54,10.5,0.03485339917909299
7.6,0.54,0.02,1.7,0.085,17,31,0.9958899999999999,3.37,0.51,10.4,0.01987812573595394
7.5,0.51,0.02,1.7,0.084,13,31,0.9953799999999999,3.36,0.54,10.5,0.03485339917909299
11.5,0.42,0.48,2.6,0.077,8,20,0.9985200000000001,3.09,0.53,11.0,0.026593919119277023
8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,0.026745164743163123
6.1,0.59,0.01,2.1,0.055999999999999994,5,13,0.99472,3.52,0.56,11.4,0.10832005516869848
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,0.01746844138243342
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,0.01746844138243342
6.9,0.57,0.0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,0.030332840271062218
9.0,0.6,0.29,2.0,0.069,32,73,0.99654,3.34,0.57,10.0,0.012807653044910309
7.2,0.62,0.01,2.3,0.065,8,46,0.9933200000000001,3.32,0.51,11.8,0.03826597350117574
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,0.010655722885384777
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,0.010655722885384777
7.2,0.58,0.03,2.3,0.077,7,28,0.9956799999999999,3.35,0.52,10.0,0.021385030851251756
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,0.04657671563593088
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,0.03807039383423643
7.3,0.43,0.24,2.5,0.078,27,67,0.9964799999999999,3.6,0.59,11.1,0.025536595011279275
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,0.004642240893626723
11.6,0.475,0.4,1.4,0.091,6,28,0.9970399999999999,3.07,0.65,10.03333333,0.12227292187162238
9.2,0.54,0.31,2.3,0.11199999999999999,11,38,0.9969899999999999,3.24,0.56,10.9,0.035226617605792473
8.3,0.85,0.14,2.5,0.09300000000000001,13,54,0.99724,3.36,0.54,10.1,0.008455097313376252
11.6,0.475,0.4,1.4,0.091,6,28,0.9970399999999999,3.07,0.65,10.03333333,0.12227292187162238
8.0,0.83,0.27,2.0,0.08,11,63,0.9965200000000001,3.29,0.48,9.8,0.006946052958715952
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,0.07709010242105481
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,0.015528703757079394
7.3,0.74,0.08,1.7,0.094,10,45,0.9957600000000001,3.24,0.5,9.8,0.008582114447638844
6.9,0.54,0.3,2.2,0.08800000000000001,9,105,0.99725,3.25,1.18,10.5,0.058178430512829095
8.0,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,0.0058658001467457
6.6,0.61,0.0,1.6,0.069,4,8,0.9939600000000001,3.33,0.37,10.4,0.034437342478453196
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3.0,1.17,9.2,0.012618245331787787
7.5,0.58,0.56,3.1,0.153,5,14,0.9947600000000001,3.21,1.03,11.6,0.8561364824464349
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3.0,1.17,9.2,0.012618245331787787
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,0.004135908604342994
6.8,0.815,0.0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,0.30760139799885033
7.2,0.56,0.26,2.0,0.083,13,100,0.9958600000000001,3.26,0.52,9.9,0.01055867552846783
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10.0,0.013409910864872941
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,0.30613852228620997
7.2,0.45,0.15,2.0,0.078,10,28,0.9960899999999999,3.29,0.51,9.9,0.01603101549275444
7.5,0.57,0.02,2.6,0.077,11,35,0.9955700000000001,3.36,0.62,10.8,0.05832520944331637
7.5,0.57,0.02,2.6,0.077,11,35,0.9955700000000001,3.36,0.62,10.8,0.05832520944331637
6.8,0.83,0.09,1.8,0.07400000000000001,4,25,0.99534,3.38,0.45,9.6,0.009660627788213581
8.0,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,0.009086493240128933
8.0,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,0.009086493240128933
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,0.004071672018245318
8.0,0.81,0.25,3.4,0.076,34,85,0.9966799999999999,3.19,0.42,9.2,0.0041117733170902065
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,0.01774567311214113
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,0.01774567311214113
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,0.11429693780264177
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,0.01186135287857101
6.0,0.49,0.0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,0.18727557392829963
8.0,0.64,0.22,2.4,0.094,5,33,0.9961200000000001,3.37,0.58,11.0,0.049668673711152196
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,0.03148081528820654
8.0,0.52,0.25,2.0,0.078,19,59,0.9961200000000001,3.3,0.48,10.2,0.008921633832797616
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,0.005254769118964207
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,0.016390015646502443
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,0.015852985220655685
7.3,0.59,0.26,2.0,0.08,17,104,0.99584,3.28,0.52,9.9,0.008921633832797616
7.0,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,0.03049930405386259
7.2,0.67,0.0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,0.09986099271462717
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,0.007080737951642778
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,0.007080737951642778
7.6,0.3,0.42,2.0,0.052000000000000005,6,24,0.9963,3.44,0.82,11.9,0.7978846665929854
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10.0,0.15726377099895014
8.0,0.5,0.39,2.6,0.08199999999999999,12,46,0.9985,3.43,0.62,10.7,0.033283243354036846
7.7,0.28,0.3,2.0,0.062,18,34,0.9952,3.28,0.9,11.3,0.8094528377152553
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,0.8652938965899107
6.0,0.51,0.0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,0.08546040714565643
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,0.4571961229921097
6.0,0.51,0.0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,0.08546040714565643
6.6,0.96,0.0,1.8,0.08199999999999999,5,16,0.9936,3.5,0.44,11.9,0.08182189086551361
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,0.14912802418805157
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,0.8652938965899107
9.9,0.57,0.25,2.0,0.10400000000000001,12,89,0.9963,3.04,0.9,10.1,0.03454146438381035
10.0,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,0.04514079196025574
6.2,0.58,0.0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,0.03846546618357768
10.0,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,0.04514079196025574
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,0.6526912875568278
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,0.027827704068056697
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,0.007927714844258284
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,0.027827704068056697
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,0.006819130472792454
7.0,0.54,0.0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,0.05583240384629719
6.4,0.53,0.09,3.9,0.12300000000000001,14,31,0.9968,3.5,0.67,11.0,0.13163343484475187
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,0.04282873802025544
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,0.04282873802025544
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,0.26235965664500727
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,0.06573513597794176
7.8,0.64,0.0,1.9,0.07200000000000001,27,55,0.9962,3.31,0.63,11.0,0.03525564031613222
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,0.2075517251814162
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,0.016223704001032097
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,0.012231481085499398
5.9,0.44,0.0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,0.8155910883540007
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,0.05824765761619739
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9.0,0.1148760554577706
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9.0,0.1148760554577706
10.0,0.38,0.38,1.6,0.16899999999999998,27,90,0.9991399999999999,3.15,0.65,8.5,0.011161215625119158
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,0.027921684969158457
7.0,0.59,0.0,1.7,0.052000000000000005,3,8,0.996,3.41,0.47,10.3,0.030896848932747824
7.3,0.67,0.02,2.2,0.07200000000000001,31,92,0.99566,3.32,0.68,11.06666667,0.02637860054781889
7.2,0.37,0.32,2.0,0.062,15,28,0.9947,3.23,0.73,11.3,0.22588838941937955
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,0.004364836736441376
6.9,0.63,0.02,1.9,0.078,18,30,0.9971200000000001,3.4,0.75,9.8,0.03612711892036248
6.9,0.58,0.2,1.75,0.057999999999999996,8,22,0.9932200000000001,3.38,0.49,11.7,0.04654081340069154
7.3,0.67,0.02,2.2,0.07200000000000001,31,92,0.99566,3.32,0.68,11.1,0.02637860054781889
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,0.004364836736441376
6.9,0.63,0.02,1.9,0.078,18,30,0.9971200000000001,3.4,0.75,9.8,0.03612711892036248
6.8,0.67,0.0,1.9,0.08,22,39,0.9970100000000001,3.4,0.74,9.7,0.020980618052370097
